Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5521","Aliments pour animaux","S2511","Blé et produits","2013","2013","Milliers de tonnes","326","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5142","Nourriture","S2511","Blé et produits","2013","2013","Milliers de tonnes","5215","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5521","Aliments pour animaux","S2807","Riz et produits","2013","2013","Milliers de tonnes","9","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5142","Nourriture","S2807","Riz et produits","2013","2013","Milliers de tonnes","620","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5521","Aliments pour animaux","S2513","Orge et produits","2013","2013","Milliers de tonnes","360","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5142","Nourriture","S2513","Orge et produits","2013","2013","Milliers de tonnes","36","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5521","Aliments pour animaux","S2514","Maïs et produits","2013","2013","Milliers de tonnes","200","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5142","Nourriture","S2514","Maïs et produits","2013","2013","Milliers de tonnes","54","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5142","Nourriture","S2515","Seigle et produits","2013","2013","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5521","Aliments pour animaux","S2517","Millet et produits","2013","2013","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5142","Nourriture","S2517","Millet et produits","2013","2013","Milliers de tonnes","12","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5142","Nourriture","S2520","Céréales, Autres","2013","2013","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","5521","Aliments pour animaux","S2511","Blé et produits","2013","2013","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","5142","Nourriture","S2511","Blé et produits","2013","2013","Milliers de tonnes","3077","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","5521","Aliments pour animaux","S2807","Riz et produits","2013","2013","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","5142","Nourriture","S2807","Riz et produits","2013","2013","Milliers de tonnes","1264","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","5521","Aliments pour animaux","S2513","Orge et produits","2013","2013","Milliers de tonnes","16","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","5142","Nourriture","S2513","Orge et produits","2013","2013","Milliers de tonnes","3","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","5521","Aliments pour animaux","S2514","Maïs et produits","2013","2013","Milliers de tonnes","4715","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","5142","Nourriture","S2514","Maïs et produits","2013","2013","Milliers de tonnes","5034","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","5521","Aliments pour animaux","S2515","Seigle et produits","2013","2013","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","5142","Nourriture","S2515","Seigle et produits","2013","2013","Milliers de tonnes","2","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","5521","Aliments pour animaux","S2516","Avoine","2013","2013","Milliers de tonnes","7","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","5142","Nourriture","S2516","Avoine","2013","2013","Milliers de tonnes","58","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","5521","Aliments pour animaux","S2517","Millet et produits","2013","2013","Milliers de tonnes","8","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","5142","Nourriture","S2517","Millet et produits","2013","2013","Milliers de tonnes","5","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","5521","Aliments pour animaux","S2518","Sorgho et produits","2013","2013","Milliers de tonnes","18","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","5142","Nourriture","S2518","Sorgho et produits","2013","2013","Milliers de tonnes","93","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","5521","Aliments pour animaux","S2520","Céréales, Autres","2013","2013","Milliers de tonnes","13","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","5142","Nourriture","S2520","Céréales, Autres","2013","2013","Milliers de tonnes","43","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","5521","Aliments pour animaux","S2511","Blé et produits","2013","2013","Milliers de tonnes","22","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","5142","Nourriture","S2511","Blé et produits","2013","2013","Milliers de tonnes","400","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","5521","Aliments pour animaux","S2807","Riz et produits","2013","2013","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","5142","Nourriture","S2807","Riz et produits","2013","2013","Milliers de tonnes","35","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","5521","Aliments pour animaux","S2513","Orge et produits","2013","2013","Milliers de tonnes","5","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","5142","Nourriture","S2513","Orge et produits","2013","2013","Milliers de tonnes","3","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","5521","Aliments pour animaux","S2514","Maïs et produits","2013","2013","Milliers de tonnes","163","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","5142","Nourriture","S2514","Maïs et produits","2013","2013","Milliers de tonnes","6","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","5521","Aliments pour animaux","S2515","Seigle et produits","2013","2013","Milliers de tonnes","2","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","5142","Nourriture","S2515","Seigle et produits","2013","2013","Milliers de tonnes","1","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","5521","Aliments pour animaux","S2516","Avoine","2013","2013","Milliers de tonnes","18","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","5142","Nourriture","S2516","Avoine","2013","2013","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","5521","Aliments pour animaux","S2517","Millet et produits","2013","2013","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","5521","Aliments pour animaux","S2520","Céréales, Autres","2013","2013","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","5142","Nourriture","S2520","Céréales, Autres","2013","2013","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","012","Algérie","5521","Aliments pour animaux","S2511","Blé et produits","2013","2013","Milliers de tonnes","577","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","012","Algérie","5142","Nourriture","S2511","Blé et produits","2013","2013","Milliers de tonnes","6703","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","012","Algérie","5521","Aliments pour animaux","S2807","Riz et produits","2013","2013","Milliers de tonnes","2","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","012","Algérie","5142","Nourriture","S2807","Riz et produits","2013","2013","Milliers de tonnes","143","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","012","Algérie","5521","Aliments pour animaux","S2513","Orge et produits","2013","2013","Milliers de tonnes","1267","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","012","Algérie","5142","Nourriture","S2513","Orge et produits","2013","2013","Milliers de tonnes","590","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","012","Algérie","5521","Aliments pour animaux","S2514","Maïs et produits","2013","2013","Milliers de tonnes","2505","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","012","Algérie","5142","Nourriture","S2514","Maïs et produits","2013","2013","Milliers de tonnes","517","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","012","Algérie","5142","Nourriture","S2515","Seigle et produits","2013","2013","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","012","Algérie","5521","Aliments pour animaux","S2516","Avoine","2013","2013","Milliers de tonnes","107","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","012","Algérie","5142","Nourriture","S2516","Avoine","2013","2013","Milliers de tonnes","0","I","Valeur imputée"
