Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5521","Aliments pour animaux","S2557","Graines de tournesol","2013","2013","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5521","Aliments pour animaux","S2559","Graines de coton","2013","2013","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5142","Nourriture","S2560","Coco (Incl Coprah)","2013","2013","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5142","Nourriture","S2561","Sésame","2013","2013","Milliers de tonnes","13","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5142","Nourriture","S2563","Olives","2013","2013","Milliers de tonnes","2","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5521","Aliments pour animaux","S2570","Plantes Oleiferes, Autre","2013","2013","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","5521","Aliments pour animaux","S2555","Soja","2013","2013","Milliers de tonnes","124","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","5142","Nourriture","S2555","Soja","2013","2013","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","5521","Aliments pour animaux","S2552","Arachides","2013","2013","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","5142","Nourriture","S2552","Arachides","2013","2013","Milliers de tonnes","57","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","5521","Aliments pour animaux","S2557","Graines de tournesol","2013","2013","Milliers de tonnes","3","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","5521","Aliments pour animaux","S2558","Graines Colza/Moutarde","2013","2013","Milliers de tonnes","8","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","5142","Nourriture","S2558","Graines Colza/Moutarde","2013","2013","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","5521","Aliments pour animaux","S2559","Graines de coton","2013","2013","Milliers de tonnes","9","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","5521","Aliments pour animaux","S2560","Coco (Incl Coprah)","2013","2013","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","5142","Nourriture","S2560","Coco (Incl Coprah)","2013","2013","Milliers de tonnes","6","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","5142","Nourriture","S2563","Olives","2013","2013","Milliers de tonnes","1","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","5521","Aliments pour animaux","S2570","Plantes Oleiferes, Autre","2013","2013","Milliers de tonnes","2","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","5142","Nourriture","S2570","Plantes Oleiferes, Autre","2013","2013","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","5521","Aliments pour animaux","S2555","Soja","2013","2013","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","5142","Nourriture","S2555","Soja","2013","2013","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","5142","Nourriture","S2552","Arachides","2013","2013","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","5521","Aliments pour animaux","S2557","Graines de tournesol","2013","2013","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","5142","Nourriture","S2558","Graines Colza/Moutarde","2013","2013","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","5521","Aliments pour animaux","S2559","Graines de coton","2013","2013","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","5142","Nourriture","S2560","Coco (Incl Coprah)","2013","2013","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","5521","Aliments pour animaux","S2563","Olives","2013","2013","Milliers de tonnes","0","I","Valeur imputée"
